game,level,baseline_actions,source_scorecard
tn36,1,32,91aa2f10-5dc3-4471-80e5-9e8895db5de1
tn36,2,72,91aa2f10-5dc3-4471-80e5-9e8895db5de1
tn36,3,26,91aa2f10-5dc3-4471-80e5-9e8895db5de1
tn36,4,40,91aa2f10-5dc3-4471-80e5-9e8895db5de1
tn36,5,30,91aa2f10-5dc3-4471-80e5-9e8895db5de1
tn36,6,55,91aa2f10-5dc3-4471-80e5-9e8895db5de1
tn36,7,62,91aa2f10-5dc3-4471-80e5-9e8895db5de1
tr87,1,54,91aa2f10-5dc3-4471-80e5-9e8895db5de1
tr87,2,58,91aa2f10-5dc3-4471-80e5-9e8895db5de1
tr87,3,40,91aa2f10-5dc3-4471-80e5-9e8895db5de1
tr87,4,45,91aa2f10-5dc3-4471-80e5-9e8895db5de1
tr87,5,71,91aa2f10-5dc3-4471-80e5-9e8895db5de1
tr87,6,146,91aa2f10-5dc3-4471-80e5-9e8895db5de1
tu93,1,19,91aa2f10-5dc3-4471-80e5-9e8895db5de1
tu93,2,16,91aa2f10-5dc3-4471-80e5-9e8895db5de1
tu93,3,34,91aa2f10-5dc3-4471-80e5-9e8895db5de1
tu93,4,42,91aa2f10-5dc3-4471-80e5-9e8895db5de1
tu93,5,123,91aa2f10-5dc3-4471-80e5-9e8895db5de1
tu93,6,80,91aa2f10-5dc3-4471-80e5-9e8895db5de1
tu93,7,14,91aa2f10-5dc3-4471-80e5-9e8895db5de1
tu93,8,23,91aa2f10-5dc3-4471-80e5-9e8895db5de1
tu93,9,111,91aa2f10-5dc3-4471-80e5-9e8895db5de1
vc33,1,7,91aa2f10-5dc3-4471-80e5-9e8895db5de1
vc33,2,18,91aa2f10-5dc3-4471-80e5-9e8895db5de1
vc33,3,44,91aa2f10-5dc3-4471-80e5-9e8895db5de1
vc33,4,61,91aa2f10-5dc3-4471-80e5-9e8895db5de1
vc33,5,131,91aa2f10-5dc3-4471-80e5-9e8895db5de1
vc33,6,34,91aa2f10-5dc3-4471-80e5-9e8895db5de1
vc33,7,152,91aa2f10-5dc3-4471-80e5-9e8895db5de1
wa30,1,71,91aa2f10-5dc3-4471-80e5-9e8895db5de1
wa30,2,119,91aa2f10-5dc3-4471-80e5-9e8895db5de1
wa30,3,183,91aa2f10-5dc3-4471-80e5-9e8895db5de1
wa30,4,98,91aa2f10-5dc3-4471-80e5-9e8895db5de1
wa30,5,368,91aa2f10-5dc3-4471-80e5-9e8895db5de1
wa30,6,68,91aa2f10-5dc3-4471-80e5-9e8895db5de1
wa30,7,79,91aa2f10-5dc3-4471-80e5-9e8895db5de1
wa30,8,442,91aa2f10-5dc3-4471-80e5-9e8895db5de1
wa30,9,415,91aa2f10-5dc3-4471-80e5-9e8895db5de1
